,종목코드,해당년도,매출증감비율,영업이익증감비율,당기순이익증감비율,자산총계증감비율,부채비율,부채증감비율,PBR,PER,log(PBR증감비율),OPM,자본유보율,ROE,ROA,현금배당성향,group
0,000070,2016/12,0.04547493911037047,0.01099218048968081,-0.004134085373670042,1.031907273556033,71.26,1.0342718218178966,0.68,46.87,-0.3022808718729335,6.1,2881.71,1.68,2.09,68.45,0
1,000070,2017/12,0.026313339746175567,-0.013094610109535483,0.0006516275172991591,1.03363412633306,68.88,1.0131938125568698,0.69,28.72,0.014598799421152631,4.12,2928.91,2.76,2.08,41.08,1
2,000070,2018/12,0.05074509089805457,0.012048924094813196,0.010713526965917023,1.0115384615384615,65.53,0.9818140996856758,0.43,9.95,-0.47290638890369696,5.4,3047.14,5.03,3.11,22.13,0
4,000080,2016/12,-0.005042555672146438,-0.0029147720648245307,-0.004372158097236796,0.9828348504551365,163.26,0.987499414766609,1.14,39.18,-0.07598590697792211,6.56,271.98,2.94,1.12,163.8,1
5,000080,2017/12,-8.684701897607365e-05,-0.0106532343277317,-0.007439894625616976,1.0313133986063332,188.1,1.0857671154940263,1.38,135.43,0.19105523676270922,4.62,254.67,1.01,0.37,440.64,1
6,000080,2018/12,-0.0012399613593436856,0.0009227619418371613,0.002768285825511484,0.9773349298665754,194.92,0.989389109645867,1.0,53.17,-0.32208349916911316,4.8,240.09,1.87,0.64,251.17,2
8,000100,2016/12,0.09785543273394122,0.00611278080586827,0.01793082369721359,1.0880710524916237,36.71,1.0639039504260264,1.46,14.78,-0.3635009090091323,7.4,2681.45,11.27,8.21,12.74,1
9,000100,2017/12,0.06829928029754143,-0.004395498236970488,-0.02492392406897551,1.023852583215211,30.4,0.8887877684746996,1.58,25.04,0.07898841131863046,6.07,2707.01,7.04,5.3,19.95,2
10,000100,2018/12,0.02651985474991215,-0.01808597868103549,-0.024036546796298467,1.0377619706879266,31.61,1.0692197419619087,1.49,46.35,-0.05864872708150775,3.3,2650.39,3.55,2.73,39.53,2
12,000120,2016/12,0.20477563686799644,0.008341898081163875,0.0038316852430226407,1.2267970225530496,101.56,1.3067925591882752,1.34,73.19,-0.07889394246966296,3.76,2446.27,2.39,1.36,0.0,0
13,000120,2017/12,0.1742157327732231,0.0012365336404905481,-0.002371434379022969,1.1385206114612765,127.77,1.2675509543836947,1.05,68.28,-0.24387944979338794,3.31,2453.87,1.99,0.92,0.0,2
14,000120,2018/12,0.2980373871391632,0.0009890777556412756,0.0017520805957074025,1.2517658288259625,151.33,1.3435993420679484,1.14,72.33,0.08223809823697201,2.63,2500.96,2.11,0.94,0.0,2
16,000150,2016/12,-0.014350451918015447,0.028352188850751647,0.058159017354382433,0.9083701194373232,262.81,0.8964330737216571,0.86,14.22,0.22024079165624832,5.61,1660.09,7.91,0.17,51.09,1
17,000150,2017/12,0.015429938468288709,0.008472362963968952,-0.0001567021509981927,1.0036351204264464,278.37,1.0193460766041063,0.9,70.89,0.04546237407675741,6.9,1614.27,1.67,0.16,259.3,1
20,000210,2016/12,0.027812760667964214,0.012070460084067975,0.006231497685677369,1.0270702616681449,140.83,0.9982091443842901,0.73,12.67,0.19611487892629054,4.26,2039.97,5.92,2.4,4.44,0
21,000210,2017/12,0.19242459486702335,0.00980848259285105,0.016655036054896488,1.0815881854497034,135.37,1.063758435572239,0.63,6.48,-0.14732471475685843,4.42,2259.89,10.14,3.94,7.91,2
22,000210,2018/12,-0.10298747532035889,0.0228310502283105,0.012966816840853478,0.9575601566871852,112.12,0.8800482609203306,0.73,6.12,0.14732471475685835,7.7,2440.21,12.37,5.17,10.18,1
25,000240,2017/12,0.04203567419234128,-0.019427466633404018,-0.008419608332293875,1.0705730427764326,8.38,1.124068391056554,0.58,7.54,-0.15906469462968753,24.16,6449.13,8.05,7.56,11.8,1
26,000240,2018/12,0.006808810365826815,0.0035804951061675495,-0.007072945250708028,1.0550345285124092,8.12,1.0245709828393135,0.48,7.46,-0.18924199963852842,24.94,6829.65,6.75,6.41,13.28,0
28,000270,2016/12,0.06589284128940615,0.002213289232719517,0.0025601479930710833,1.1067679278644458,91.46,1.116352331225518,0.59,5.78,-0.38837067474886433,4.67,1177.08,10.85,5.69,16.01,0
29,000270,2017/12,0.015948255393051423,-0.034875663501115005,-0.03462950058972493,1.0276109123135906,94.68,1.0462159293782753,0.5,14.03,-0.1655144384775733,1.24,1205.53,3.62,1.88,33.13,2
30,000270,2018/12,0.01218474073077699,0.00951758726376572,0.0036106493980649686,0.9902895912373026,90.09,0.964998643510673,0.5,11.82,0.0,2.14,1235.32,4.27,2.22,31.22,1
32,000640,2016/12,0.016376585291541304,0.008835739041017634,0.08310164908405378,1.1460563955864325,60.1,0.8478015783540023,1.08,5.51,-0.38046380590274714,10.47,3260.01,21.33,13.38,4.06,1
33,000640,2017/12,-0.025090858261112663,-0.015795359239586245,-0.100083869164104,1.0407930395093425,59.63,1.0357142857142858,0.86,24.11,-0.22778393087071197,7.73,3331.15,3.64,2.27,18.86,1
36,000660,2016/12,-0.05170137929585953,-0.0665461378261832,-0.044046343823866324,1.0855215497053363,34.1,0.9882150008443704,1.31,11.02,0.25022450991688056,19.05,579.89,13.01,9.57,14.34,2
37,000660,2017/12,0.33262016242778664,0.26907109596893136,0.19789397754864138,1.4098118947107028,34.29,1.4156240463838876,1.6,5.23,0.1999764920326754,45.57,859.32,36.8,27.42,6.63,1
38,000660,2018/12,0.18951234359643848,0.13059605709005032,0.08980461473017178,1.4015940640928257,35.87,1.4491054106488468,0.88,2.83,-0.5978370007556205,51.54,1262.49,38.53,28.49,6.6,2
40,000670,2016/12,0.00952873393411139,0.00032008666962131285,0.00923326931599941,1.0368615060558188,31.59,1.0083299471759448,0.67,12.07,-0.08576682175742495,-0.16,29503.1,6.12,3.14,10.6,1
41,000670,2017/12,0.2395900924082071,0.036605284943950954,0.032421184525540915,1.1617451449853684,38.46,1.3441466854724964,0.62,8.09,-0.07755823434587461,4.28,31994.86,8.6,6.09,7.03,1
42,000670,2018/12,-0.15821024009742476,-0.05633418370025091,-0.04747357038623455,0.9829090076399442,34.62,0.9100584619997002,0.42,12.39,-0.3894647667617233,-3.67,33132.32,3.69,0.97,15.54,1
44,000720,2016/12,-0.020814052799979603,0.0035539918671204764,0.0034622101546266906,1.027043787887401,144.61,0.9823822066139889,0.75,8.34,0.29213642280116114,6.16,1015.93,9.5,3.73,9.74,0
45,000720,2017/12,-0.10118182079242298,-0.009027471394297918,-0.018801575761056562,0.9274658588867531,117.54,0.8476610377230015,0.63,20.06,-0.1743533871447778,5.84,1048.98,3.15,1.94,27.63,2
46,000720,2018/12,-0.008562070902936703,-0.008008441478355008,0.008973181861784496,0.9795300538739902,117.74,0.980299226830003,0.97,15.95,0.43157625211185,5.02,1074.89,5.99,2.93,14.6,0
48,000810,2016/12,-0.0006542356815576287,-0.00021148548775932647,0.0007120518580673726,1.0788172743604665,519.7,1.0764088409224755,1.04,15.82,-0.2308064240597789,4.94,47085.96,8.17,1.31,30.23,1
49,000810,2017/12,0.004541272540831587,0.00258471206598781,0.002699803858625679,1.1143064462931067,533.02,1.1188198422284488,0.95,12.82,-0.09051400754083186,5.71,50863.51,9.18,1.46,40.38,2
50,000810,2018/12,0.002514705040156133,0.0024863920867869236,0.00019819067358446495,1.0444055925656974,542.03,1.0471542911779823,0.93,12.74,-0.02127739844728485,6.53,52212.98,8.8,1.38,45.78,0
52,000880,2016/12,0.03822988045965842,0.006173194889592992,0.007775230479808661,1.0635159457690715,988.5,1.0656717888100866,0.73,5.76,0.13157635778871926,3.58,748.89,11.48,0.86,11.6,1
53,000880,2017/12,0.02084769540350276,0.003002545498403509,0.00014092285425910763,1.034376997630286,903.43,1.025504983891851,0.84,10.02,0.14035735769492244,4.28,799.15,9.06,0.83,13.88,1
54,000880,2018/12,-0.010093903263020116,-0.002139844412446519,-0.003103017010792628,1.0583888386029527,900.11,1.057999642238588,0.69,6.55,-0.19671029424605427,3.71,849.07,10.73,0.49,13.25,0
56,000990,2016/12,0.10804504413107437,0.048087653444252816,-0.038957086334584556,1.0022344099126548,188.6,0.8826991513824254,2.01,8.01,-0.19386331723412614,22.3,87.08,29.65,8.96,0.0,0
57,000990,2017/12,-0.09430533117932148,-0.02948303715670436,0.02211227786752827,1.0072963113092825,118.07,0.8345479919367343,1.14,4.85,-0.5671064596645803,21.07,137.66,27.62,11.13,9.95,1
58,000990,2018/12,-0.010094637223974764,-0.029313273477311334,-0.022712933753943218,1.0729376257545271,91.0,0.9440728353771832,0.84,5.56,-0.30538164955118174,16.88,186.48,17.12,8.43,12.5,2
60,001040,2016/12,0.11023952131330368,0.0010915195652904687,0.0007395440532946292,1.1463154812177183,139.99,1.1501164344061845,1.54,28.18,-0.33368542571403353,5.23,2338.27,6.08,2.25,17.28,0
61,001040,2017/12,0.10453181858524896,0.0025951894914351646,0.02016153368243543,1.0857398850778983,144.54,1.1001643912130041,1.42,13.16,-0.08112554481236846,4.93,2601.61,12.1,4.04,8.93,1
62,001040,2018/12,0.0859816329238112,0.000212923123287402,-0.008441582903255923,1.081980126443288,153.39,1.108145062654328,0.97,15.7,-0.3811160790978779,4.51,2741.67,6.91,2.88,14.84,0
66,001060,2018/12,0.05601371764513759,-0.00016330529925696088,0.014370866334612558,0.941195118085275,128.28,0.9266870313801722,3.41,111.24,-0.05422155416663893,4.02,411.41,3.03,1.32,86.32,2
68,001120,2016/12,-0.2382016513900462,0.017498674342852814,0.057173698962199836,0.9616977802544813,214.66,0.9197177230352586,0.91,19.5,-0.18048837571229367,1.46,521.82,4.75,1.6,16.62,0
