,종목코드,해당년도,매출증감비율,영업이익증감비율,당기순이익증감비율,자산총계증감비율,부채비율,부채증감비율,PBR,PER,log(PBR증감비율),OPM,자본유보율,ROE,ROA,현금배당성향,group
69,001120,2017/12,0.1696418890279845,0.007530877583810585,0.0006702875336375914,0.9594962625306627,213.32,0.9575865681361307,0.88,17.48,-0.03352269203864356,1.65,547.95,4.93,1.74,16.05,0
72,001230,2016/12,-0.03928717304812187,0.009530581062886708,0.04465757983752629,0.9171681723922911,176.27,0.8678064516129033,0.47,17.2,0.5920510636885764,5.13,154.23,2.9,1.07,22.85,0
73,001230,2017/12,0.16796475430301958,-0.002464621406767238,-0.010631700186054754,0.9630496308125287,156.93,0.9219388893019106,0.46,231.73,-0.021506205220963505,3.99,156.1,0.2,0.08,206.11,0
76,001430,2016/12,0.0012340485205441032,-0.022100687140653486,-0.016912074042911233,0.9841954422771919,77.36,0.9198116019793716,0.52,10.33,-0.2534489008095387,5.67,667.24,5.53,2.94,32.1,0
77,001430,2017/12,0.14707986700523282,0.012626085492627769,0.009118839522453388,1.0152384721947358,70.74,0.9643505315011667,0.56,8.22,0.07410797215372204,6.17,711.65,7.09,3.85,25.28,0
78,001430,2018/12,0.060958426243861066,-0.03627956606793527,-0.03075281467598736,1.035616819827346,86.41,1.1586906842317515,0.34,30.24,-0.4989911661189879,1.7,708.58,1.14,0.68,144.13,0
80,001450,2016/12,0.0001145495054325103,0.00609689742664536,0.0056587455683660085,1.130439822582318,1201.1,1.1298107250311276,0.88,6.87,-0.26759531388504354,3.54,6355.63,15.32,1.17,26.26,1
81,001450,2017/12,0.013885253236948081,0.0022411376416990865,0.001405546622239358,1.0926967353349128,1204.64,1.092945757281667,1.21,9.05,0.3184537311185346,3.97,6927.36,15.61,1.2,25.75,1
82,001450,2018/12,-0.003315020328735575,-0.00230065248206827,-0.0021493248779034507,1.0888979440637154,967.26,1.0687906538856555,0.79,9.83,-0.4263426931297195,3.39,9226.29,10.32,0.88,24.12,1
84,001520,2016/12,0.0431266846361186,-0.025035405911645117,-0.532504911142583,0.848420874852221,16.46,0.6333630686886709,0.73,29.39,0.05635293655113178,1.74,749.17,2.67,2.23,43.58,0
85,001520,2017/12,0.04352425570500227,-0.0009067553271875472,-0.00876530149614629,0.9758136757240967,15.12,0.9063380281690141,0.48,29.21,-0.41925843024050025,1.41,753.1,1.9,1.59,63.68,1
86,001520,2018/12,0.04759959141981614,-0.006230847803881512,-0.012972420837589376,0.9971440228478172,17.2,1.1142191142191142,0.51,149.52,0.06062462181643484,0.14,742.72,0.39,0.32,309.14,1
88,001680,2016/12,0.09970315651129591,0.0005438353991525232,0.005846230540889624,1.0968830181507174,166.18,1.1205971541870772,1.12,14.72,-0.2787134024690205,3.89,2353.67,7.87,2.72,22.32,1
89,001680,2017/12,0.049902431537635114,-0.006314543182266658,-0.0036396325286675874,0.9756985055230669,154.67,0.9492089925062448,1.14,18.82,0.017699577099400638,3.26,2475.36,6.13,2.27,34.18,2
90,001680,2018/12,-0.005391562205148942,0.010558475985083344,0.006110437165835468,0.9762919552477357,136.78,0.9285818713450292,0.99,13.91,-0.14107859825990549,4.06,2626.23,7.27,2.94,30.56,1
93,001740,2017/12,0.2899600572953804,-0.0030919313212642843,0.014664588552282035,0.838416296416598,207.74,0.7850453755551264,0.68,49.42,-0.043172171865208546,0.94,281.63,1.39,0.44,86.44,1
94,001740,2018/12,-0.34094849430529994,-0.001240297671441146,-0.003587527673308261,1.0749370451337963,236.05,1.118530816372543,0.54,178.04,-0.23052365861183238,1.06,276.51,0.31,0.1,398.25,2
96,001800,2016/12,-0.7632073395737766,0.009106758975574251,0.024341114139174298,0.9700213418700814,70.62,0.8175460039383445,1.38,10.57,-0.718193212486033,-1.4,5339.82,15.89,8.43,13.39,0
97,001800,2017/12,-0.00424310495444902,-0.08910520404342943,0.3431645797800796,1.4791845714875038,38.01,0.9841362126245847,0.87,0.76,-0.46134556650262093,4.35,14492.55,85.88,41.22,1.39,0
98,001800,2018/12,0.43609527004360954,0.05219262223970202,-0.3165103124385476,1.00913358743144,36.69,0.9836273103215462,0.55,19.02,-0.4585749334221128,11.54,5815.83,3.02,2.74,38.2,1
100,002240,2016/12,-0.022874008485519275,-0.0019266637971673943,0.009018426284613334,1.0112540192926045,65.49,1.0010311404413281,0.52,18.09,0.019418085857101516,2.61,7718.04,2.92,1.65,15.75,0
101,002240,2017/12,0.05484475760759833,0.00016482271256979211,-0.00733461070935575,0.9785985080102727,64.61,0.9706427688504327,0.48,27.69,-0.0800427076735365,2.5,7827.65,1.72,0.93,26.59,1
102,002240,2018/12,0.011152649276330903,-0.0003341617760698398,-0.008604665733798375,0.9945430309089395,63.85,0.987371325480208,0.34,137.43,-0.3448404862917295,2.41,7026.93,0.25,0.08,206.82,0
104,002270,2016/12,0.04283863099321595,0.008079884137510481,0.0060218004421068675,1.037744641192917,41.75,0.9962025316455696,0.92,14.88,-0.4340384805522204,4.53,12700.84,6.34,4.43,14.12,1
105,002270,2017/12,0.04394057857701329,-0.010633307271305707,0.028850664581704457,0.9143840742403831,83.61,1.413722998729352,0.76,7.66,-0.19105523676270922,3.64,16663.56,11.82,7.43,21.05,1
106,002270,2018/12,-0.006419488909921402,0.001152215958191021,-0.04329039957203407,0.9889507284334589,77.05,0.9451734675534783,0.95,18.86,0.22314355131420976,3.73,17169.97,6.31,3.5,32.08,0
108,002350,2016/12,0.022005078094944987,0.008886666153727784,0.01881203354620297,1.0143360843116742,117.66,0.9149211274890096,1.1,7.7,-0.10354067894084021,13.09,2094.62,15.66,6.77,5.85,0
109,002350,2017/12,0.02590587409227813,-0.02313420425358931,-0.018699532511687208,1.0672676572825548,108.67,1.0281938948558507,0.91,9.77,-0.18962085927556618,9.44,2349.7,9.88,4.63,8.24,1
110,002350,2018/12,0.006361512847273992,-0.0009939863823865613,-0.007256100591421897,1.1604509663564782,127.02,1.2467184385952856,0.66,9.22,-0.3212047644904245,9.2,2512.29,7.5,3.43,9.94,0
112,002380,2016/12,0.00853579200035893,0.0019516791170334478,-0.0036005114745272225,1.056988602279544,53.55,1.1412958068433459,0.59,24.91,-0.17095779814363954,9.36,8696.07,2.58,1.72,58.1,1
113,002380,2017/12,0.039933284151778554,0.00034213255498177075,-0.011835648073900631,1.0416266480398149,62.69,1.150873130124554,0.64,96.26,0.0813456394539524,8.54,10675.74,0.71,0.45,211.8,1
116,002790,2016/12,0.15659847088332174,0.025565863830044423,0.02079115167266024,1.1529603122966818,27.33,1.2073480399936518,3.9,34.45,-0.22006188477680177,16.17,6628.95,12.76,12.26,11.2,1
117,002790,2017/12,-0.09269530491694168,-0.04871183338417594,-0.04464904739454782,1.0348174482252694,23.66,0.9223135064081498,3.91,61.72,0.0025608208616736505,12.13,7014.91,6.95,6.79,14.81,0
118,002790,2018/12,0.006670017524078627,-0.024723893877440128,-0.015377718609484737,1.0071163703784491,18.34,0.8158626095631725,1.94,45.32,-0.7008494009220376,9.04,7292.1,4.65,5.11,18.17,1
120,002960,2016/12,-0.10340681362725451,-0.03206412825651302,-0.03206412825651302,0.9723320158102767,26.36,0.8653198653198653,5.92,21.14,-0.06696378726017059,16.63,1290.28,28.06,21.84,90.67,0
121,002960,2017/12,-0.0031508467900748325,-0.040173296573454115,-0.023631350925561245,1.0642276422764227,31.68,1.2256809338521402,5.02,20.59,-0.16490651519227656,14.27,1320.61,24.64,19.1,91.16,1
122,002960,2018/12,0.06751361161524501,0.007259528130671506,0.005807622504537205,1.1046600458365163,45.25,1.4285714285714286,4.39,17.53,-0.13410070661655785,14.12,1322.16,25.09,18.12,98.96,2
124,003000,2016/12,-0.014247913698351313,-0.060248320781599835,-0.03785874211276206,0.9365392195506503,10.72,0.8070175438596491,5.39,74.79,0.25903031064773385,6.16,1207.61,7.19,6.44,113.51,1
125,003000,2017/12,0.05107640354579992,-0.0033769523005487546,-0.019839594765723934,0.9941077441077442,11.8,1.0826086956521739,5.36,104.49,-0.005581409838195041,5.09,967.31,5.21,4.68,77.65,0
126,003000,2018/12,0.11921074266922445,0.07508906549739655,0.3688681830638531,2.0897544453852666,19.39,3.2208835341365463,3.83,10.86,-0.3360991718901561,18.09,1481.63,46.64,39.91,6.71,2
128,003240,2016/12,-0.03486243330892353,7.846008996756983e-05,-0.01571817135683649,0.9993202436665011,28.38,0.9660493827160493,0.31,73.75,-0.1495317339709637,5.99,48351.59,0.56,1.17,10.3,2
129,003240,2017/12,0.061701001033813256,0.020449330542878036,0.03396454776973701,1.0751380059126703,29.46,1.1066146018222696,0.41,10.56,0.2795848622191615,8.27,50769.36,5.29,4.52,1.17,2
130,003240,2018/12,0.04482013887276189,0.020970251503680825,0.016232786047699774,1.0956807397493613,28.46,1.066830624465355,0.36,6.86,-0.13005312824819779,10.66,56497.53,7.39,5.79,1.18,0
132,003410,2016/12,-0.180824946754028,0.013396849139122376,0.03186629164160177,1.0959959107173283,77.3,0.883999495649981,0.82,7.38,-0.20840126957700641,18.03,272.29,11.59,5.69,16.21,2
133,003410,2017/12,0.02584333224164111,-0.0032453032423259,0.03754428796855926,1.088613892170885,73.23,1.0555555555555556,0.96,6.08,0.15762894420358306,16.54,289.06,16.55,8.97,34.97,0
134,003410,2018/12,-0.0020489142197532644,-0.0011543178702835292,-0.04449895389943005,0.9794641837084428,73.23,0.9794608472400513,1.64,21.73,0.5355182363563621,16.35,285.85,7.51,4.24,127.81,1
137,003490,2017/12,0.014825574218396385,-0.007447762790812506,0.05590759836396106,1.0288940371089266,557.11,0.9463549827462844,0.89,3.92,-0.2562957586311101,7.77,317.41,29.37,3.3,3.04,1
140,003520,2016/12,0.11650979394556092,0.0025438819638768763,0.004070211142203002,1.029426948890036,87.77,0.9989281886387996,14.76,372.81,1.364845817712407,2.82,19.55,4.07,2.14,0.0,1
141,003520,2017/12,0.009424603174603174,-0.01240079365079365,-0.011408730158730158,1.0220661985957873,70.37,0.9034334763948498,13.42,858.75,-0.0951746876287907,1.55,30.66,1.65,0.93,0.0,1
144,003550,2016/12,-0.015500042538710226,0.010990939254721797,0.007843074697975157,1.0753721707847312,37.06,1.0943263000498422,0.76,9.82,-0.23361485118150507,13.67,1496.2,8.01,5.8,21.28,1
145,003550,2017/12,0.10536474374712851,0.04089252766967044,0.06535706211667813,1.1107422496331338,33.8,1.0377272554750065,1.0,6.68,0.27443684570176036,18.46,1748.54,16.04,11.84,9.54,1
146,003550,2018/12,-0.1842341896788929,-0.01638806211727468,-0.024849607495796202,1.0548880481529215,25.72,0.8542847737829633,0.68,6.6,-0.3856624808119846,23.52,1980.32,10.96,8.46,18.87,1
148,003620,2016/12,0.11345357635749298,0.03036215676010089,0.05710750487793271,1.0609062377402902,166.2,1.0216322517207472,1.33,18.63,-0.10686314554236126,0.77,18.5,7.6,2.77,0.0,0
152,003850,2016/12,0.021127726711483056,-0.015365619426533132,-0.04006036493346138,1.2027802961619825,103.66,1.5007407407407407,2.7,96.67,0.13459015397276475,5.38,875.33,2.9,1.56,28.55,1
154,003850,2018/12,0.0884457478005865,0.0563049853372434,-0.0849266862170088,1.1180124223602483,75.72,1.2681491170699803,1.64,21.72,0.006116227017436054,5.42,1128.04,8.03,4.76,12.42,2
156,003920,2016/12,0.023776773432894478,0.021320495185694635,0.01031636863823934,1.0476813197867418,17.12,1.049655172413793,0.7,17.51,-0.055569851154810765,3.38,20478.24,4.28,3.65,2.3,0
157,003920,2017/12,-0.06951665703832081,-0.03533602927017138,-0.031003273637589063,0.9944311089774364,15.72,0.9244415243101183,0.66,123.09,-0.05884050002293335,0.43,20608.54,0.56,0.48,17.02,1
158,003920,2018/12,-0.08360467343420801,0.0033518483049224286,-0.002873012832790653,1.0164140195037172,18.43,1.164179104477612,0.59,274.54,-0.11211729812070624,0.8,20469.81,0.23,0.19,42.41,0
161,004000,2017/12,0.030767290839165247,0.05125780215623227,0.08366433390076287,1.0721144424848128,37.61,1.0698783687097544,1.39,18.77,0.6859786910813328,9.58,832.05,7.74,5.63,22.84,0
162,004000,2018/12,0.12701643073055396,0.059617514141202525,0.07524017597940921,1.0357643331505515,23.38,0.7180115916183683,0.76,4.93,-0.6037405928443605,15.36,989.97,16.72,12.86,20.15,1
164,004020,2016/12,0.017339462631751998,-0.0005924574888487714,0.0039672938651182125,1.018925113663406,97.4,0.9780463439000024,0.46,8.95,0.06744128079553269,8.66,2183.46,5.41,2.69,11.58,0
165,004020,2017/12,0.07508200004247921,-0.002348493353521071,-0.004235783877926893,1.0255986331006,95.91,1.0175822122571,0.46,10.92,0.0,7.13,2276.91,4.35,2.21,13.75,1
166,004020,2018/12,0.048423259601641906,-0.010243151111224424,-0.00958327021972534,0.9979355062953574,95.64,0.9965418678809913,0.36,15.15,-0.2451224580329851,4.94,2319.31,2.39,1.22,24.7,0
168,004170,2016/12,0.042914612789337926,-0.0011973568627012146,-0.012286895656504053,1.2571670329115203,112.12,1.3640629455836983,0.54,7.63,-0.32850406697203594,8.53,5078.38,7.26,3.62,5.41,2
169,004170,2017/12,0.09190200037799286,0.009380191184808666,-0.010922004157921437,1.019810136119343,106.36,0.9944123460544321,0.86,16.2,0.4653632496892333,8.93,5374.13,5.48,2.13,6.75,1
170,004170,2018/12,0.12368136263115795,0.004865195501811509,0.006709640991859973,1.093540983283588,121.93,1.1656855624784985,0.73,10.55,-0.16388785510511666,7.66,5762.54,6.94,2.68,8.23,1
172,004370,2016/12,0.014448979591836735,-0.011673469387755103,0.03338775510204082,1.0258816719725472,37.67,0.8791763791763791,1.07,10.15,-0.37059628245734044,4.05,6058.8,11.64,8.13,11.61,1
173,004370,2017/12,-0.003528552887735237,0.002717391304347826,-0.044005515898767035,0.9873453431668884,33.07,0.8967447341287377,1.12,23.75,0.04567003683318848,4.37,6274.87,5.01,3.68,25.51,1
174,004370,2018/12,0.01128015736020232,-0.003131146882903135,-0.0025691461603307778,1.0336340258786072,33.44,1.0422141918528252,0.78,18.37,-0.36179004460550285,3.96,6454.97,4.54,3.38,27.44,2
176,004490,2016/12,0.0033526509890320416,-0.020020115905934194,-0.015134824464773216,1.0849810265628121,31.45,1.1144449207029576,0.62,8.34,-0.1633250561032995,7.75,11817.13,7.89,6.01,7.66,0
177,004490,2017/12,0.1355795510551548,-0.004122048478874501,0.0034947802320892513,1.0542107685227795,28.67,0.9815384615384616,0.55,7.52,-0.11980119981262052,6.29,12737.16,7.76,5.97,8.26,2
178,004490,2018/12,0.0578461028467244,0.03439274023121866,0.0247793477810467,1.106949537279553,29.06,1.118730407523511,0.5,5.21,-0.0953101798043249,9.42,14054.41,10.32,8.0,7.12,0
180,004800,2016/12,-0.03763417928485107,0.004698940783393758,-0.0035899623231676974,1.0076784745811092,267.61,0.9751923423551622,1.58,13.27,0.10676797542570614,8.52,1947.87,13.25,3.38,36.52,0
181,004800,2017/12,-0.6446373857997334,-0.06842593820448216,-0.009394258753899733,1.0293326157158236,276.23,1.0381435075294758,1.5,17.8,-0.051959738930711104,1.33,2044.54,8.95,2.38,51.09,0
182,004800,2018/12,0.029575655711482175,0.011373783000444065,0.29462968356817826,0.440859993120055,137.14,0.3472548890992063,0.42,0.34,-1.2729656758128876,5.16,6933.49,110.16,32.72,3.03,2
184,004990,2016/12,-0.002308330427882708,-0.004015533140170961,-0.0009618043449511283,0.922767516586144,55.81,0.8807983736832379,0.74,25.78,-0.18457127652797004,5.68,25434.12,2.78,1.81,23.01,0
185,004990,2017/12,-0.029302133346723887,-0.010398278799021974,0.032454063324436344,5.485520316649131,192.36,10.076374318086446,0.65,6.14,-0.1296778233085326,-0.36,50440.01,10.96,3.83,0.0,1
186,004990,2018/12,0.21820282174838534,0.00424918308243496,-0.015534560964871534,1.2612766074046335,227.48,1.3316189127658393,0.53,30.18,-0.20409535634351528,1.35,48528.98,2.8,0.45,30.93,0
188,005180,2016/12,0.02192134107027724,0.008865248226950355,0.006447453255963894,1.0110210696920583,19.55,1.0220440881763526,1.08,21.88,-0.08004270767353625,4.58,967.75,5.53,4.63,38.47,0
189,005180,2017/12,0.0023820867079561697,-0.0039701445132602825,0.0014292520247737017,1.0189163193331197,20.19,1.0470588235294118,1.05,20.99,-0.028170876966696335,4.26,1003.32,5.64,4.7,37.32,2
190,005180,2018/12,0.06281504459092671,0.00713454827452501,0.00713454827452501,1.0287916928886092,19.97,1.0196629213483146,1.18,20.88,0.11672427430814139,4.6,1043.83,6.37,5.3,34.9,2
192,005250,2016/12,0.10287836583101206,-0.003853296193129062,-0.01787372330547818,1.092582697819012,63.34,1.1610541727672035,1.4,24.99,-0.6190392084062235,7.33,2792.61,6.27,3.45,28.87,2
193,005250,2017/12,0.046153846153846156,0.0052806652806652804,-0.001496881496881497,1.1384430711776998,77.87,1.2851083342886622,2.19,44.84,0.44742930720719654,7.64,2901.96,5.47,2.94,31.41,0
194,005250,2018/12,0.032065981924344324,-0.024165108974235447,-0.01977145279710173,1.0265161869801227,80.89,1.0486173059768065,1.42,67.34,-0.43324467221524016,3.19,3004.07,2.28,0.75,61.47,2
197,005300,2017/12,0.0037112591245360925,-0.01804016024774498,0.01287880649839015,0.7497903451241802,165.61,0.954473614891562,0.83,12.34,-2.3097880052881035,3.31,49030.42,7.36,2.99,20.13,2
200,005380,2016/12,0.009821506909569273,-0.006765759122938213,-0.004587398512160528,1.081442649994346,147.2,1.0812791600879308,0.58,7.71,-0.11394425934921784,5.55,4604.72,8.37,3.32,19.97,0
201,005380,2017/12,0.015276356350098618,-0.0034663229472483683,-0.0065724575210189245,0.9964414303839442,138.37,0.9713657628691144,0.61,11.04,0.050430853626891904,4.75,4804.16,5.92,2.55,26.77,1
202,005380,2018/12,0.002432735422884934,-0.011996478803573473,-0.016170305970122218,1.0137839892928993,144.47,1.032072048034601,0.46,22.14,-0.28223246768421617,2.5,4747.59,2.2,0.92,70.7,1
204,005440,2016/12,0.19773683446975193,0.008365975143865757,0.006673436819962281,1.1164730566501202,35.76,1.1820238584944467,0.89,15.86,-0.5085759040319753,4.17,2693.86,6.39,5.09,5.52,0
