,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,51740.0,49127.0,48098.0,50986.0,52795.0,,,
1,영업이익,6962.0,7123.0,5943.0,7498.0,8069.0,6975.0,7295.0,7678.0
2,영업이익(발표기준),6962.0,7123.0,5943.0,7498.0,8069.0,,,
3,세전계속사업이익,7001.0,6884.0,5578.0,7186.0,7934.0,6926.0,7126.0,7524.0
4,당기순이익,5305.0,5181.0,4250.0,5381.0,5989.0,5109.0,5256.0,5522.0
5,당기순이익(지배),4855.0,5016.0,4031.0,5021.0,5622.0,4789.0,4949.0,5226.0
6,당기순이익(비지배),450.0,165.0,219.0,360.0,367.0,,,
7,자산총계,902795.0,934822.0,943500.0,987936.0,1045388.0,1085356.0,1128147.0,1171764.0
8,부채총계,840889.0,863950.0,866940.0,903686.0,953576.0,989064.0,1027495.0,1067042.0
9,자본총계,61907.0,70872.0,76560.0,84250.0,91812.0,96289.0,100665.0,104717.0
10,자본총계(지배),58862.0,67826.0,70576.0,76270.0,82837.0,87148.0,91140.0,95374.0
11,자본총계(비지배),3045.0,3045.0,5985.0,,,,,
12,자본금,12797.0,16297.0,16297.0,16297.0,16297.0,16806.0,16845.0,16944.0
13,영업활동현금흐름,7464.0,-11258.0,15302.0,3544.0,-4886.0,,,
14,투자활동현금흐름,-8555.0,-3719.0,-4273.0,-8538.0,-8529.0,,,
15,재무활동현금흐름,4361.0,11978.0,-9320.0,6364.0,13395.0,,,
16,CAPEX,1051.0,1041.0,1513.0,1253.0,1092.0,,,
17,FCF,,,,,,,,
18,이자발생부채,131317.0,136111.0,127531.0,124314.0,138285.0,,,
19,영업이익률,13.46,14.5,12.36,14.71,15.28,,,
20,순이익률,10.25,10.55,8.83,10.55,11.34,,,
21,ROE(%),9.12,7.92,5.83,6.84,7.07,5.63,5.55,5.6
22,ROA(%),0.61,0.56,0.45,0.56,0.59,0.48,0.48,0.48
23,부채비율,1358.31,1219.04,1132.36,1072.63,1038.62,1027.18,1020.7,1018.97
24,자본유보율,383.79,334.89,369.8,416.99,463.39,,,
25,EPS(원),1853.0,1568.0,1237.0,1540.0,1725.0,1469.0,1518.0,1604.0
26,PER(배),4.54,5.53,7.62,4.76,4.44,3.46,3.35,3.17
27,BPS(원),21665.0,20811.0,21654.0,23401.0,25416.0,26863.0,28093.0,29399.0
28,PBR(배),0.39,0.42,0.44,0.31,0.3,0.19,0.18,0.17
29,현금DPS(원),141.0,230.0,230.0,300.0,360.0,321.0,345.0,376.0
30,현금배당수익률,1.68,2.65,2.44,4.09,4.7,6.33,6.78,7.41
31,현금배당성향(%),7.91,14.94,18.6,19.47,20.87,21.87,22.7,23.47
32,발행주식수(보통주),271706454.0,325935246.0,325935246.0,325935246.0,325935246.0,,,
