,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS별도),2016/12  (IFRS별도),2017/12  (IFRS별도),2018/12  (IFRS별도),2019/12  (IFRS별도),2020/12(E)  (IFRS별도),2021/12(E)  (IFRS별도),2022/12(E)  (IFRS별도)
0,매출액,17062.0,17624.0,18186.0,18108.0,17880.0,18043.0,18477.0,18956.0
1,영업이익,692.0,798.0,662.0,676.0,495.0,534.0,570.0,632.0
2,영업이익(발표기준),692.0,798.0,662.0,676.0,495.0,,,
3,세전계속사업이익,626.0,759.0,1114.0,559.0,496.0,582.0,536.0,608.0
4,당기순이익,503.0,582.0,951.0,425.0,375.0,437.0,405.0,460.0
5,당기순이익(지배),503.0,582.0,951.0,425.0,375.0,436.0,405.0,460.0
6,당기순이익(비지배),,,,,,,,
7,자산총계,12876.0,13362.0,12218.0,12083.0,13212.0,13353.0,13722.0,14272.0
8,부채총계,3950.0,3935.0,5563.0,5258.0,6136.0,5973.0,6096.0,6361.0
9,자본총계,8926.0,9426.0,6654.0,6825.0,7075.0,7380.0,7627.0,7911.0
10,자본총계(지배),8926.0,9426.0,6654.0,6825.0,7075.0,7380.0,7627.0,7911.0
11,자본총계(비지배),,,,,,,,
12,자본금,68.0,68.0,57.0,57.0,57.0,59.0,59.0,59.0
13,영업활동현금흐름,1246.0,898.0,908.0,968.0,476.0,962.0,987.0,1068.0
14,투자활동현금흐름,-422.0,-1277.0,-558.0,-332.0,-493.0,-262.0,-497.0,-440.0
15,재무활동현금흐름,135.0,-397.0,269.0,-1191.0,-128.0,-192.0,-103.0,-161.0
16,CAPEX,438.0,1035.0,850.0,592.0,748.0,655.0,668.0,653.0
17,FCF,808.0,-137.0,58.0,376.0,-272.0,425.0,357.0,404.0
18,이자발생부채,1543.0,1212.0,2958.0,2028.0,2298.0,,,
19,영업이익률,4.06,4.53,3.64,3.73,2.77,2.96,3.08,3.34
20,순이익률,2.95,3.3,5.23,2.35,2.1,2.42,2.19,2.43
21,ROE(%),5.83,6.34,11.82,6.31,5.4,6.04,5.4,5.92
22,ROA(%),4.05,4.43,7.43,3.5,2.97,3.29,2.99,3.28
23,부채비율,44.25,41.75,83.61,77.05,86.73,80.94,79.93,80.4
24,자본유보율,11947.39,12700.84,16663.56,17169.97,17366.63,,,
25,EPS(원),36712.0,42479.0,72204.0,37584.0,33151.0,38564.0,35770.0,40611.0
26,PER(배),25.17,14.88,7.66,18.86,12.46,9.36,10.09,8.89
27,BPS(원),651830.0,688361.0,731399.0,750128.0,777670.0,811127.0,838291.0,869541.0
28,PBR(배),1.42,0.92,0.76,0.95,0.53,0.45,0.43,0.42
29,현금DPS(원),4780.0,6000.0,22000.0,15000.0,12000.0,11143.0,10714.0,10833.0
30,현금배당수익률,0.52,0.95,3.98,2.12,2.91,3.09,2.97,3.0
31,현금배당성향(%),13.02,14.12,21.05,32.08,29.1,28.89,29.95,26.68
32,발행주식수(보통주),1369436.0,1369436.0,1131870.0,1131870.0,1131870.0,,,
