,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,11287.0,13208.0,14622.0,15188.0,14804.0,15374.0,16214.0,16705.0
1,영업이익,858.0,978.0,887.0,501.0,125.0,589.0,778.0,794.0
2,영업이익(발표기준),858.0,978.0,887.0,501.0,125.0,,,
3,세전계속사업이익,1683.0,2049.0,1449.0,894.0,549.0,2329.0,1379.0,1400.0
4,당기순이익,1260.0,1612.0,1096.0,583.0,366.0,1665.0,992.0,992.0
5,당기순이익(지배),1260.0,1612.0,1090.0,575.0,400.0,1634.0,1019.0,1029.0
6,당기순이익(비지배),,,6.0,9.0,-34.0,,,
7,자산총계,18803.0,20459.0,20947.0,21738.0,21172.0,22487.0,23141.0,23611.0
8,부채총계,5164.0,5494.0,4883.0,5221.0,4672.0,4767.0,4909.0,5046.0
9,자본총계,13639.0,14966.0,16063.0,16517.0,16500.0,17720.0,18231.0,18564.0
10,자본총계(지배),13639.0,14966.0,16000.0,16417.0,16463.0,17732.0,18268.0,18666.0
11,자본총계(비지배),,,63.0,,,,,
12,자본금,569.0,569.0,595.0,622.0,651.0,666.0,666.0,667.0
13,영업활동현금흐름,1262.0,741.0,1261.0,935.0,660.0,1509.0,1263.0,1068.0
14,투자활동현금흐름,-1178.0,-771.0,-422.0,-582.0,316.0,-58.0,-391.0,-429.0
15,재무활동현금흐름,574.0,233.0,-682.0,-514.0,-670.0,-281.0,-474.0,-563.0
16,CAPEX,813.0,801.0,568.0,460.0,428.0,288.0,298.0,240.0
17,FCF,450.0,-59.0,694.0,474.0,232.0,937.0,850.0,734.0
18,이자발생부채,1516.0,1966.0,1338.0,1186.0,915.0,,,
19,영업이익률,7.61,7.4,6.07,3.3,0.85,3.83,4.8,4.75
20,순이익률,11.17,12.21,7.5,3.84,2.47,10.83,6.12,5.94
21,ROE(%),9.55,11.27,7.04,3.55,2.43,9.55,5.66,5.57
22,ROA(%),7.21,8.21,5.3,2.73,1.71,7.63,4.35,4.24
23,부채비율,37.86,36.71,30.4,31.61,28.32,26.9,26.92,27.18
24,자본유보율,2439.83,2681.45,2707.01,2650.39,2547.07,,,
25,EPS(원),1853.0,2370.0,1603.0,845.0,588.0,2401.0,1497.0,1512.0
26,PER(배),24.74,14.78,25.04,46.35,80.44,21.62,34.67,34.32
27,BPS(원),21848.0,23983.0,25448.0,26230.0,26384.0,28451.0,29312.0,29950.0
28,PBR(배),2.1,1.46,1.58,1.49,1.79,1.82,1.77,1.73
29,현금DPS(원),334.0,334.0,349.0,365.0,382.0,397.0,408.0,418.0
30,현금배당수익률,0.73,0.95,0.87,0.93,0.81,0.77,0.79,0.81
31,현금배당성향(%),16.3,12.74,19.95,39.53,59.44,16.25,26.79,27.18
32,발행주식수(보통주),66856810.0,66856810.0,66856810.0,66856810.0,66856810.0,,,
