,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS별도),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,19037.0,18608.0,17613.0,14772.0,14527.0,16122.0,18431.0,20528.0
1,영업이익,1122.0,876.0,43.0,243.0,181.0,604.0,856.0,1153.0
2,영업이익(발표기준),1122.0,876.0,43.0,243.0,181.0,,,
3,세전계속사업이익,1049.0,834.0,-251.0,112.0,138.0,541.0,774.0,1079.0
4,당기순이익,830.0,771.0,-86.0,45.0,32.0,438.0,614.0,852.0
5,당기순이익(지배),830.0,771.0,-86.0,45.0,32.0,438.0,615.0,852.0
6,당기순이익(비지배),,,,,,,,
7,자산총계,17543.0,17915.0,20068.0,23221.0,23175.0,25538.0,27570.0,30032.0
8,부채총계,11772.0,11598.0,14028.0,16720.0,16835.0,18973.0,20541.0,22301.0
9,자본총계,5771.0,6316.0,6040.0,6501.0,6340.0,6565.0,7029.0,7731.0
10,자본총계(지배),5771.0,6316.0,6040.0,6501.0,6340.0,6565.0,7029.0,7731.0
11,자본총계(비지배),,,,,,,,
12,자본금,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
13,영업활동현금흐름,90.0,-1077.0,-364.0,-1138.0,1510.0,1754.0,1242.0,1608.0
14,투자활동현금흐름,-649.0,-996.0,-1150.0,-364.0,-1430.0,658.0,-438.0,-458.0
15,재무활동현금흐름,866.0,1844.0,2285.0,1146.0,-326.0,-349.0,-316.0,-356.0
16,CAPEX,409.0,822.0,1029.0,111.0,312.0,344.0,344.0,356.0
17,FCF,-319.0,-1898.0,-1393.0,-1250.0,1198.0,776.0,689.0,997.0
18,이자발생부채,555.0,2606.0,5099.0,6357.0,6334.0,,,
19,영업이익률,5.89,4.71,0.24,1.65,1.25,3.74,4.64,5.62
20,순이익률,4.36,4.14,-0.49,0.3,0.22,2.72,3.33,4.15
21,ROE(%),17.76,12.75,-1.4,0.72,,6.79,9.05,11.55
22,ROA(%),4.91,4.35,-0.45,0.21,,1.8,2.31,2.96
23,부채비율,203.99,183.62,232.26,257.17,265.55,289.0,292.21,288.46
24,자본유보율,424.51,474.16,449.02,425.16,410.37,,,
25,EPS(원),4043.0,3502.0,-392.0,203.0,145.0,1992.0,2796.0,3873.0
26,PER(배),25.6,22.98,,182.34,218.25,18.0,12.82,9.26
27,BPS(원),26231.0,28711.0,27454.0,29552.0,28817.0,30295.0,32438.0,35676.0
28,PBR(배),3.95,2.8,2.18,1.25,1.1,1.18,1.11,1.0
29,현금DPS(원),940.0,940.0,500.0,500.0,600.0,600.0,633.0,633.0
30,현금배당수익률,0.91,1.17,0.84,1.35,1.9,1.67,1.77,1.77
31,현금배당성향(%),24.91,26.84,-127.49,246.74,414.4,30.13,22.65,16.35
32,발행주식수(보통주),22000000.0,22000000.0,22000000.0,22000000.0,22000000.0,,,
