,주요재무정보,연간,연간,연간,연간,연간,연간,연간,연간
,주요재무정보,2015/12  (IFRS연결),2016/12  (IFRS연결),2017/12  (IFRS연결),2018/12  (IFRS연결),2019/12  (IFRS연결),2020/12(E)  (IFRS연결),2021/12(E)  (IFRS연결),2022/12(E)  (IFRS연결)
0,매출액,8921.0,8445.0,8907.0,8865.0,7984.0,7387.0,7912.0,8269.0
1,영업이익,960.0,935.0,637.0,579.0,754.0,612.0,760.0,839.0
2,영업이익(발표기준),960.0,1159.0,637.0,579.0,754.0,,,
3,세전계속사업이익,924.0,784.0,764.0,352.0,521.0,420.0,585.0,667.0
4,당기순이익,797.0,804.0,435.0,131.0,411.0,323.0,448.0,505.0
5,당기순이익(지배),752.0,753.0,430.0,131.0,411.0,321.0,446.0,503.0
6,당기순이익(비지배),45.0,51.0,5.0,0.0,0.0,,,
7,자산총계,16060.0,19140.0,18523.0,17241.0,17604.0,17839.0,18206.0,18627.0
8,부채총계,6633.0,9575.0,9186.0,8589.0,8743.0,8841.0,8942.0,9042.0
9,자본총계,9427.0,9565.0,9337.0,8652.0,8861.0,8998.0,9265.0,9585.0
10,자본총계(지배),9097.0,9196.0,9337.0,8652.0,8861.0,8996.0,9261.0,9579.0
11,자본총계(비지배),330.0,369.0,0.0,,,,,
12,자본금,551.0,551.0,551.0,551.0,551.0,550.0,550.0,550.0
13,영업활동현금흐름,408.0,859.0,526.0,8.0,457.0,562.0,693.0,736.0
14,투자활동현금흐름,-60.0,-105.0,20.0,372.0,44.0,9.0,-307.0,-271.0
15,재무활동현금흐름,-530.0,-1214.0,-297.0,-772.0,-236.0,-478.0,-229.0,-235.0
16,CAPEX,187.0,131.0,275.0,278.0,229.0,184.0,198.0,210.0
17,FCF,221.0,728.0,250.0,-270.0,228.0,802.0,366.0,432.0
18,이자발생부채,4882.0,6850.0,6436.0,5896.0,6482.0,,,
19,영업이익률,10.76,11.07,7.15,6.54,9.45,8.29,9.61,10.15
20,순이익률,8.93,9.52,4.89,1.48,5.14,4.37,5.67,6.11
21,ROE(%),8.23,8.24,4.64,1.46,4.69,3.6,4.88,5.34
22,ROA(%),4.85,4.57,2.31,0.73,2.36,1.82,2.49,2.74
23,부채비율,70.37,100.11,98.38,99.27,98.67,98.26,96.52,94.33
24,자본유보율,1747.03,1676.3,1739.11,1640.99,1647.92,,,
25,EPS(원),6959.0,6975.0,3982.0,1214.0,3918.0,3067.0,4257.0,4805.0
26,PER(배),9.25,8.69,15.75,36.05,11.72,10.35,7.46,6.61
27,BPS(원),85265.0,86195.0,87515.0,82464.0,84613.0,87768.0,90350.0,93455.0
28,PBR(배),0.76,0.7,0.72,0.53,0.54,0.36,0.35,0.34
29,현금DPS(원),1200.0,1250.0,1350.0,2000.0,2000.0,1810.0,1860.0,1870.0
30,현금배당수익률,1.86,2.06,2.15,4.57,4.36,5.7,5.86,5.89
31,현금배당성향(%),17.03,17.7,33.48,160.41,51.01,59.01,43.69,38.92
32,발행주식수(보통주),10802691.0,10802691.0,10802691.0,10802691.0,10472070.0,,,
